from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
88,90.93333333,2.1217E-02,5.1901E+00,2.5601E-01,3.9577E+02,2.6258E+00,2.0801E+01,2.9803E-01
90.93333333,93.86666667,2.1257E-02,5.2061E+00,2.5598E-01,3.9897E+02,2.6368E+00,2.0864E+01,2.9842E-01
93.86666667,96.8,2.1266E-02,5.2114E+00,2.5529E-01,4.0191E+02,2.6426E+00,2.0959E+01,2.9809E-01
96.8,99.73333333,2.1257E-02,5.2102E+00,2.5435E-01,4.0444E+02,2.6422E+00,2.0999E+01,2.9755E-01
99.73333333,102.6666667,2.1214E-02,5.2037E+00,2.5352E-01,4.0631E+02,2.6414E+00,2.0993E+01,2.9687E-01
102.6666667,105.6,2.1136E-02,5.1870E+00,2.5196E-01,4.0756E+02,2.6361E+00,2.0961E+01,2.9555E-01
105.6,108.5333333,2.1053E-02,5.1655E+00,2.5016E-01,4.0839E+02,2.6290E+00,2.0933E+01,2.9385E-01
108.5333333,111.4666667,2.0942E-02,5.1418E+00,2.4804E-01,4.0863E+02,2.6203E+00,2.0852E+01,2.9168E-01
111.4666667,114.4,2.0820E-02,5.1110E+00,2.4581E-01,4.0861E+02,2.6071E+00,2.0770E+01,2.8937E-01
114.4,117.3333333,2.0682E-02,5.0746E+00,2.4353E-01,4.0816E+02,2.5914E+00,2.0667E+01,2.8715E-01
117.3333333,120.2666667,2.0507E-02,5.0354E+00,2.4113E-01,4.0679E+02,2.5716E+00,2.0520E+01,2.8491E-01
120.2666667,123.2,2.0341E-02,4.9861E+00,2.3855E-01,4.0537E+02,2.5477E+00,2.0366E+01,2.8222E-01
123.2,126.1333333,2.0145E-02,4.9377E+00,2.3593E-01,4.0350E+02,2.5273E+00,2.0169E+01,2.7954E-01
126.1333333,129.0666667,1.9922E-02,4.8866E+00,2.3284E-01,4.0089E+02,2.5016E+00,1.9959E+01,2.7612E-01
