from,to,Gd-152,Gd-154,Gd-155,Gd-156,Gd-157,Gd-158,Gd-160
70,72.5,9.5597E+00,1.9090E+00,4.1544E+02,5.9946E-01,1.6987E+03,3.6008E-01,5.9289E-02
72.5,75,9.7230E+00,1.9367E+00,4.2343E+02,6.0577E-01,1.7315E+03,3.6451E-01,5.9760E-02
75,77.5,9.8760E+00,1.9611E+00,4.3116E+02,6.1068E-01,1.7632E+03,3.6800E-01,6.0170E-02
77.5,80,1.0006E+01,1.9811E+00,4.3757E+02,6.1549E-01,1.7895E+03,3.7074E-01,6.0485E-02
80,82.5,1.0123E+01,2.0001E+00,4.4347E+02,6.1876E-01,1.8137E+03,3.7363E-01,6.0742E-02
82.5,85,1.0235E+01,2.0170E+00,4.4913E+02,6.2214E-01,1.8370E+03,3.7606E-01,6.0876E-02
85,87.5,1.0327E+01,2.0295E+00,4.5393E+02,6.2418E-01,1.8568E+03,3.7734E-01,6.0938E-02
87.5,90,1.0418E+01,2.0421E+00,4.5899E+02,6.2567E-01,1.8776E+03,3.7861E-01,6.0970E-02
90,92.5,1.0485E+01,2.0512E+00,4.6260E+02,6.2660E-01,1.8926E+03,3.7997E-01,6.0886E-02
92.5,95,1.0559E+01,2.0586E+00,4.6700E+02,6.2634E-01,1.9107E+03,3.7997E-01,6.0752E-02
95,97.5,1.0611E+01,2.0630E+00,4.7015E+02,6.2586E-01,1.9237E+03,3.7974E-01,6.0591E-02
97.5,100,1.0653E+01,2.0666E+00,4.7288E+02,6.2524E-01,1.9349E+03,3.7973E-01,6.0374E-02
100,102.5,1.0690E+01,2.0683E+00,4.7560E+02,6.2280E-01,1.9462E+03,3.7897E-01,6.0100E-02
102.5,105,1.0717E+01,2.0675E+00,4.7785E+02,6.2028E-01,1.9555E+03,3.7779E-01,5.9769E-02
105,107.5,1.0722E+01,2.0642E+00,4.7873E+02,6.1789E-01,1.9593E+03,3.7637E-01,5.9441E-02
107.5,110,1.0735E+01,2.0613E+00,4.8053E+02,6.1446E-01,1.9666E+03,3.7491E-01,5.9030E-02
110,112.5,1.0738E+01,2.0564E+00,4.8174E+02,6.1055E-01,1.9716E+03,3.7297E-01,5.8638E-02
112.5,115,1.0730E+01,2.0496E+00,4.8242E+02,6.0624E-01,1.9745E+03,3.7058E-01,5.8178E-02
115,117.5,1.0716E+01,2.0424E+00,4.8268E+02,6.0170E-01,1.9758E+03,3.6849E-01,5.7662E-02
117.5,120,1.0688E+01,2.0319E+00,4.8231E+02,5.9683E-01,1.9745E+03,3.6566E-01,5.7112E-02
120,122.5,1.0660E+01,2.0213E+00,4.8214E+02,5.9148E-01,1.9739E+03,3.6264E-01,5.6549E-02
122.5,125,1.0620E+01,2.0090E+00,4.8122E+02,5.8583E-01,1.9703E+03,3.5974E-01,5.5977E-02
125,127.5,1.0572E+01,1.9944E+00,4.8003E+02,5.8019E-01,1.9655E+03,3.5595E-01,5.5360E-02
127.5,130,1.0521E+01,1.9802E+00,4.7856E+02,5.7395E-01,1.9596E+03,3.5266E-01,5.4710E-02
130,132.5,1.0460E+01,1.9650E+00,4.7651E+02,5.6780E-01,1.9513E+03,3.4924E-01,5.4063E-02
132.5,135,1.0403E+01,1.9493E+00,4.7495E+02,5.6179E-01,1.9450E+03,3.4537E-01,5.3416E-02
135,137.5,1.0339E+01,1.9333E+00,4.7301E+02,5.5486E-01,1.9371E+03,3.4179E-01,5.2747E-02
137.5,140,1.0267E+01,1.9164E+00,4.7044E+02,5.4787E-01,1.9267E+03,3.3833E-01,5.2074E-02
140,142.5,1.0186E+01,1.8964E+00,4.6769E+02,5.4089E-01,1.9156E+03,3.3366E-01,5.1346E-02
142.5,145,1.0104E+01,1.8767E+00,4.6470E+02,5.3300E-01,1.9034E+03,3.2939E-01,5.0597E-02
145,147.5,1.0013E+01,1.8565E+00,4.6118E+02,5.2595E-01,1.8891E+03,3.2516E-01,4.9862E-02
147.5,150,9.9185E+00,1.8351E+00,4.5744E+02,5.1884E-01,1.8738E+03,3.2071E-01,4.9159E-02
150,152.5,9.8226E+00,1.8131E+00,4.5382E+02,5.1124E-01,1.8591E+03,3.1605E-01,4.8393E-02
152.5,155,9.7234E+00,1.7918E+00,4.5007E+02,5.0326E-01,1.8437E+03,3.1186E-01,4.7617E-02
155,157.5,9.6198E+00,1.7692E+00,4.4601E+02,4.9560E-01,1.8271E+03,3.0713E-01,4.6887E-02
157.5,160,9.5116E+00,1.7455E+00,4.4165E+02,4.8799E-01,1.8093E+03,3.0235E-01,4.6154E-02
160,162.5,9.3982E+00,1.7222E+00,4.3699E+02,4.7982E-01,1.7903E+03,2.9768E-01,4.5404E-02
162.5,165,9.2811E+00,1.6980E+00,4.3210E+02,4.7187E-01,1.7704E+03,2.9284E-01,4.4662E-02
165,167.5,9.1678E+00,1.6742E+00,4.2743E+02,4.6396E-01,1.7514E+03,2.8805E-01,4.3927E-02
167.5,170,9.0430E+00,1.6501E+00,4.2212E+02,4.5655E-01,1.7297E+03,2.8368E-01,4.3174E-02
170,172.5,8.9252E+00,1.6261E+00,4.1726E+02,4.4849E-01,1.7099E+03,2.7900E-01,4.2435E-02
172.5,175,8.8030E+00,1.6017E+00,4.1199E+02,4.4106E-01,1.6883E+03,2.7443E-01,4.1664E-02
175,177.5,8.6839E+00,1.5772E+00,4.0686E+02,4.3292E-01,1.6674E+03,2.6979E-01,4.0929E-02
177.5,180,8.5547E+00,1.5511E+00,4.0112E+02,4.2495E-01,1.6440E+03,2.6474E-01,4.0195E-02
180,182.5,8.4343E+00,1.5267E+00,3.9616E+02,4.1724E-01,1.6236E+03,2.6003E-01,3.9444E-02
182.5,185,8.3178E+00,1.5032E+00,3.9126E+02,4.0965E-01,1.6036E+03,2.5541E-01,3.8733E-02
185,187.5,8.1921E+00,1.4783E+00,3.8585E+02,4.0189E-01,1.5815E+03,2.5071E-01,3.8015E-02
187.5,190,8.0698E+00,1.4545E+00,3.8056E+02,3.9479E-01,1.5598E+03,2.4641E-01,3.7283E-02
190,192.5,7.9396E+00,1.4299E+00,3.7472E+02,3.8731E-01,1.5358E+03,2.4198E-01,3.6561E-02
192.5,195,7.8141E+00,1.4056E+00,3.6916E+02,3.7997E-01,1.5131E+03,2.3747E-01,3.5877E-02
195,197.5,7.6893E+00,1.3812E+00,3.6361E+02,3.7259E-01,1.4904E+03,2.3298E-01,3.5186E-02
197.5,200,7.5534E+00,1.3555E+00,3.5752E+02,3.6498E-01,1.4655E+03,2.2841E-01,3.4480E-02
200,202.5,7.4320E+00,1.3320E+00,3.5219E+02,3.5772E-01,1.4437E+03,2.2407E-01,3.3783E-02
202.5,205,7.3052E+00,1.3076E+00,3.4654E+02,3.5067E-01,1.4205E+03,2.1966E-01,3.3081E-02
205,207.5,7.1775E+00,1.2837E+00,3.4081E+02,3.4360E-01,1.3971E+03,2.1532E-01,3.2422E-02
207.5,210,7.0492E+00,1.2595E+00,3.3499E+02,3.3666E-01,1.3733E+03,2.1085E-01,3.1782E-02
210,212.5,6.9261E+00,1.2362E+00,3.2943E+02,3.3009E-01,1.3505E+03,2.0660E-01,3.1142E-02
